,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
99,0.9625,0.07304015,40.0,4,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
100,0.9,0.14541325,40.0,5,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
101,0.4125,0.062361576,40.0,6,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
102,1.0,0.13592616,40.0,7,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
103,0.9875,0.056501962,40.0,8,session_0,16,1,Alexandre Motor Imagery,TangentSpace_riemann_LogisticRegression()
104,0.6048299,0.28513545,144.0,1,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
105,0.78156465,0.19263998,144.0,1,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
106,0.52047616,0.7032676,144.0,2,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
107,0.5255102,0.17866631,144.0,2,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
108,0.85510206,0.15252376,144.0,3,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
109,0.7806803,0.17599273,144.0,3,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
110,0.5678231,0.15599433,144.0,4,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
111,0.6357143,0.1911408,144.0,4,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
112,0.5151701,0.41411415,144.0,5,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
113,0.56863946,0.19480853,144.0,5,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
114,0.5622449,0.22952084,144.0,6,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
115,0.6588435,0.19460765,144.0,6,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
116,0.552449,0.16549149,144.0,7,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
117,0.6629252,0.14886141,144.0,7,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
118,0.932517,0.13900976,144.0,8,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
119,0.89421767,0.14883761,144.0,8,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
120,0.9376871,0.59879553,144.0,9,session_E,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
121,0.6434694,0.1485693,144.0,9,session_T,22,2,001-2014,CustomToTangentSpace_logeuclid_SVC(C=1)
122,0.55,0.07232027,40.0,1,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
123,0.7125,0.042158462,40.0,2,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
124,0.4125,0.07856765,40.0,3,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
125,0.45,0.043185472,40.0,4,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
126,0.425,0.091749474,40.0,5,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
127,0.475,0.03553977,40.0,6,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
128,0.9375,0.081968404,40.0,7,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
129,0.8875,0.041287947,40.0,8,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_logeuclid_SVC(C=1)
130,0.69312924,0.33954102,144.0,1,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
131,0.74115646,0.82581383,144.0,1,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
132,0.50034016,0.37905726,144.0,2,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
133,0.5657143,0.6979639,144.0,2,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
134,0.837551,0.7894891,144.0,3,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
135,0.8076871,0.44430286,144.0,3,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
136,0.53775513,0.7382289,144.0,4,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
137,0.6259184,0.3492673,144.0,4,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
138,0.5948299,0.33561367,144.0,5,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
139,0.48863944,0.35770577,144.0,5,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
140,0.5780272,0.5757299,144.0,6,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
141,0.64047617,0.8100808,144.0,6,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
142,0.5404762,0.6224605,144.0,7,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
143,0.7022449,0.3433155,144.0,7,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
144,0.9321088,1.0149148,144.0,8,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
145,0.8897279,0.7154271,144.0,8,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
146,0.93530613,0.33685216,144.0,9,session_E,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
147,0.6719728,0.6326765,144.0,9,session_T,22,2,001-2014,CustomToTangentSpace_affine_SVC(C=1)
148,0.3125,0.17138453,40.0,1,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
149,0.7375,0.055077076,40.0,2,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
150,0.4375,0.16194578,40.0,3,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
151,0.5375,0.05856676,40.0,4,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
152,0.4625,0.17286177,40.0,5,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
153,0.425,0.0575315,40.0,6,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
154,0.975,0.08722272,40.0,7,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
155,0.8625,0.14233789,40.0,8,session_0,16,1,Alexandre Motor Imagery,CustomToTangentSpace_affine_SVC(C=1)
156,0.9531973,0.084155604,144.0,1,session_E,22,2,001-2014,MDM_logeuclid
157,0.91387755,0.08247356,144.0,1,session_T,22,2,001-2014,MDM_logeuclid
158,0.44040817,0.07196126,144.0,2,session_E,22,2,001-2014,MDM_logeuclid
159,0.5969388,0.081009865,144.0,2,session_T,22,2,001-2014,MDM_logeuclid
160,0.98761904,0.083930396,144.0,3,session_E,22,2,001-2014,MDM_logeuclid
161,0.98,0.08124237,144.0,3,session_T,22,2,001-2014,MDM_logeuclid
162,0.8185034,0.08922286,144.0,4,session_E,22,2,001-2014,MDM_logeuclid
163,0.75877553,0.21808371,144.0,4,session_T,22,2,001-2014,MDM_logeuclid
164,0.61884356,0.08222461,144.0,5,session_E,22,2,001-2014,MDM_logeuclid
165,0.6158503,0.0741725,144.0,5,session_T,22,2,001-2014,MDM_logeuclid
166,0.6085714,0.07723956,144.0,6,session_E,22,2,001-2014,MDM_logeuclid
